"Symbol";"Name";"MarketCap";"Exchange"
"AA-P";"Alcoa Inc.";"$43.6";"AMEX"
"AAC";"Ableauctions.Com Inc";"$4.3";"AMEX"
"AAU";"Almaden Minerals, Ltd.";"$89.4";"AMEX"
"ABL";"American Biltrite Inc.";"$19.1";"AMEX"
"ABP";"Abraxas Petroleum Corporation";"$219.0";"AMEX"
"ACU";"Acme United Corporation.";"$46.9";"AMEX"
"ACY";"AeroCentury Corp.";"$19.2";"AMEX"
"ADG";"Allied Defense Group (The)";"$40.8";"AMEX"
"ADH";"Adherex Technologies Inc";"$26.9";"AMEX"
"ADJ";"Morgan Stanley";"$0.0";"AMEX"
"ADK";"Adcare Health Systems Inc";"$8.5";"AMEX"
"ADK-WT";"ADCARE HEALTH SYSTEMS INC";"$0.0";"AMEX"
"ADL";"AMDL INC";"$42.5";"AMEX"
"AE";"Adams Resources & Energy, Inc.";"$143.6";"AMEX"
"AEZ";"American Oil & Gas, Inc.";"$156.2";"AMEX"
"AFO";"Safety First Trust";"NA";"AMEX"
"AFP";"United Capital Corporation";"$169.5";"AMEX"
"AFT";"AXESSTEL INC";"$19.3";"AMEX"
"AGB";"Citigroup Inc.";"$74.3";"AMEX"
"AGT";"Apollo Gold Corporation";"$78.9";"AMEX"
"AGW";"Merrill Lynch & Co., Inc.";"$0.0";"AMEX"
"AGX";"Argan, Inc.";"$161.6";"AMEX"
"AID";"Law Enforcement Associates Corporation";"$6.4";"AMEX"
"AIM";"Aerosonic Corporation";"$9.0";"AMEX"
"AIP";"American Israeli Paper Mills, Ltd.";"$357.2";"AMEX"
"AIS";"Antares Pharma, Inc.";"$48.4";"AMEX"
"AKE";"Safety First Trust";"NA";"AMEX"
"AKN";"Safety First Trust";"NA";"AMEX"
"AMC";"American Mortgage Acceptance Company";"$4.3";"AMEX"
"AMC-PA";"American Mortgage Acceptance Company";"$2.7";"AMEX"
"AMK";"Morgan Stanley";"$0.0";"AMEX"
"AMM";"Safety First Trust";"NA";"AMEX"
"AMS";"American Shared Hospital Services";"$9.6";"AMEX"
"AMV";"Alternative Asset Management Acquisition Corp";"$481.3";"AMEX"
"AMV-U";"Alternative Asset Management Acquisition Corp";"$0.0";"AMEX"
"AMV-WT";"Alternative Asset Management Acquisition Corp";"$0.0";"AMEX"
"AMY";"AmREIT, Inc";"$38.7";"AMEX"
"ANE";"American Community Newspapers Inc.";"$2.9";"AMEX"
"ANE-U";"American Community Newspapers Inc.";"$0.0";"AMEX"
"ANE-WT";"American Community Newspapers Inc.";"$0.0";"AMEX"
"ANO";"Anooraq Resources Corporation";"$446.8";"AMEX"
"ANV";"Allied Nevada Gold Corp";"$341.2";"AMEX"
"ANX";"ADVENTRX Pharmaceuticals, Inc.";"$32.7";"AMEX"
"ANY";"Morgan Stanley";"$0.0";"AMEX"
"AOG";"Aurora Oil & Gas Corporation";"$47.3";"AMEX"
"API";"Advanced Photonix, Inc.";"$31.2";"AMEX"
"APO";"American Community Properties Trust";"$58.8";"AMEX"
"APP";"American Apparel Inc";"$439.7";"AMEX"
"APT";"Alpha Pro Tech, Ltd.";"$25.8";"AMEX"
"APY";"Aspyra,  Inc.";"$6.8";"AMEX"
"AQQ";"American Spectrum Realty, Inc.";"$52.7";"AMEX"
"ASY";"Elecsys Corporation";"$21.4";"AMEX"
"ATA";"Safety First Trust";"NA";"AMEX"
"ATC";"Cycle Country Accessories Corporation";"$9.3";"AMEX"
"ATF";"Equity Income Fund, First Exchange Series";"$951.7";"AMEX"
"ATX";"Cross (A.T.) Company";"$100.1";"AMEX"
"AUS";"NETS Trust";"NA";"AMEX"
"AVN";"Morgan Stanley";"$104.6";"AMEX"
"AWO";"Wachovia Corporation";"$10.5";"AMEX"
"AWX";"Avalon Holdings Corporation";"$11.9";"AMEX"
"AXC";"Advanced Technology Acquisition Corp";"$205.9";"AMEX"
"AXC-U";"Advanced Technology Acquisition Corp";"$0.0";"AMEX"
"AXC-WT";"Advanced Technology Acquisition Corp";"$0.0";"AMEX"
"AXD";"Merrill Lynch & Co., Inc.";"NA";"AMEX"
"AXF";"AB Svensk Ekportkredit (Swedish Export Credit Corporation)";"$51.0";"AMEX"
"AXG";"Atlas Acquisition Holdings Corp";"$230.0";"AMEX"
"AXG-U";"Atlas Acquisition Holdings Corp";"$0.0";"AMEX"
"AXG-WT";"Atlas Acquisition Holdings Corp";"$0.0";"AMEX"
"AXK";"Accelr8 Technology Corporation";"$43.2";"AMEX"
"AXU";"Alexco Resource Corp";"$98.9";"AMEX"
"AYA";"Alyst Acquisition Corp";"$72.5";"AMEX"
"AYA-U";"Alyst Acquisition Corp";"$0.0";"AMEX"
"AYA-WT";"Alyst Acquisition Corp";"$0.0";"AMEX"
"AZB";"MORGAN STANLEY";"$40.5";"AMEX"
"AZC";"Augusta Resource Corporation";"$505.0";"AMEX"
"AZK";"Aurizon Mines, Ltd.";"$721.9";"AMEX"
"AZP";"Safety First Trust";"NA";"AMEX"
"BAA";"BANRO CORPORATION";"$261.1";"AMEX"
"BBH";"Merrill Lynch Biotech HOLDRS";"$1,185.1";"AMEX"
"BCL";"BlackRock California Municipal Income Trust II";"$104.1";"AMEX"
"BCP";"Brooke Capital Corporation";"$17.2";"AMEX"
"BCT";"BlackRock Broad Investment Grade 2009 Term Trust Inc. (The)";"$40.5";"AMEX"
"BCV";"Bancroft Convertible Fund, Inc.";"$98.3";"AMEX"
"BDH";"Merrill Lynch Broadband HOLDRS";"$77.1";"AMEX"
"BDL";"Flanigan's Enterprises, Inc.";"$11.8";"AMEX"
"BDR";"Blonder Tongue Laboratories, Inc.";"$7.0";"AMEX"
"BEM";"MORGAN STANLEY";"$28.1";"AMEX"
"BFY";"BlackRock New York Municipal Income Trust II";"$66.6";"AMEX"
"BGD";"Morgan Stanley Dean Witter & Co.";"$43.7";"AMEX"
"BHB";"Bar Harbor Bankshares, Inc.";"$74.9";"AMEX"
"BHH";"Merrill Lynch B2B Internet HOLDRS";"$4.2";"AMEX"
"BHO";"B+H Ocean Carriers Ltd.";"$72.1";"AMEX"
"BHV";"BlackRock Virginia Municipal Bond Trust";"$28.7";"AMEX"
"BHZ";"Morgan Stanley";"$17.8";"AMEX"
"BIK";"SPDR Index Shares Fund";"$259.0";"AMEX"
"BIL";"SPDR Series Trust";"$128.5";"AMEX"
"BIO";"Bio-Rad Laboratories, Inc.";"$1,752.4";"AMEX"
"BIO-B";"Bio-Rad Laboratories, Inc.";"$412.4";"AMEX"
"BIR-PA";"Berkshire Income Realty, Inc.";"$73.0";"AMEX"
"BIV";"Vanguard Bond Index Funds";"NA";"AMEX"
"BJK";"Market Vectors ETF Trust";"$3.0";"AMEX"
"BJT";"Merrill Lynch & Co., Inc.";"NA";"AMEX"
"BJV";"AB Svensk Ekportkredit (Swedish Export Credit Corporation)";"$33.4";"AMEX"
"BJW";"Merrill Lynch & Co., Inc.";"$0.0";"AMEX"
"BKJ";"Bancorp of New Jersey, Inc";"NA";"AMEX"
"BKR";"Baker (Michael) Corporation";"$240.1";"AMEX"
"BLB";"Merrill Lynch & Co., Inc.";"$0.0";"AMEX"
"BLD";"Baldwin Technology Company, Inc.";"$33.4";"AMEX"
"BLE";"BlackRock Municipal Income Trust II";"$313.0";"AMEX"
"BLJ";"Blackrock New Jersey Municipal Bond Trust";"$34.4";"AMEX"
"BLM";"Citigroup Inc.";"$0.0";"AMEX"
"BLV";"Vanguard Bond Index Funds";"NA";"AMEX"
"BMD";"Birch Mountain Resources, Ltd.";"$26.9";"AMEX"
"BMJ";"Birks & Mayors Inc.";"$9.4";"AMEX"
"BND";"Vanguard Bond Index Funds";"NA";"AMEX"
"BNP";"Morgan Stanley";"$0.0";"AMEX"
"BNV";"Beverly National Corporation";"$51.3";"AMEX"
"BNX";"Banks.com, Inc";"$5.9";"AMEX"
"BOI";"Morgan Stanley Dean Witter & Co.";"$174.1";"AMEX"
"BPF";"Merrill Lynch & Co., Inc.";"NA";"AMEX"
"BPG";"BPI Industries, Inc.";"$29.4";"AMEX"
"BPS";"BlackRock Pennsylvania Strategic Municipal Trust (The)";"$24.8";"AMEX"
"BPW";"BPW Acquisition Corp";"$380.1";"AMEX"
"BPW-U";"BPW Acquisition Corp";"$0.0";"AMEX"
"BPW-WT";"BPW Acquisition Corp";"$0.0";"AMEX"
"BQI";"Oilsands Quest Inc";"$1,265.9";"AMEX"
"BQI-WT";"Oilsands Quest Inc";"$0.0";"AMEX"
"BQY";"S&P Quality Rankings Glbl Equ Mngd Tr";"$84.8";"AMEX"
"BRD";"Morgan Stanley Dean Witter & Co.";"$56.0";"AMEX"
"BRN";"Barnwell Industries, Inc.";"$86.8";"AMEX"
"BSL";"Morgan Stanley";"$0.0";"AMEX"
"BSV";"Vanguard Bond Index Funds";"NA";"AMEX"
"BTC";"Community Bankers Trust Corporation.";"$42.7";"AMEX"
"BTC-U";"Community Bankers Trust Corporation.";"$0.0";"AMEX"
"BTC-WT";"Community Bankers Trust Corporation.";"$0.0";"AMEX"
"BTI";"British American Tobacco  Industries, p.l.c.";"$1,817.1";"AMEX"
"BTN";"Ballantyne of Omaha, Inc.";"$57.5";"AMEX"
"BTR";"Merrill Lynch & Co., Inc.";"$0.0";"AMEX"
"BUF";"Minrad International, Inc.";"$92.9";"AMEX"
"BUN";"Citigroup Inc.";"$0.0";"AMEX"
"BUS";"Columbus Acquisition Corp.";"$134.8";"AMEX"
"BUS-U";"Columbus Acquisition Corp.";"$0.0";"AMEX"
"BUS-WT";"Columbus Acquisition Corp.";"$0.0";"AMEX"
"BVX";"Bovie Medical Corporation";"$113.2";"AMEX"
"BWL-A";"Bowl America, Inc.";"$51.0";"AMEX"
"BWN";"MORGAN STANLEY";"$12.5";"AMEX"
"BWR";"Merrill Lynch & Co., Inc.";"$0.0";"AMEX"
"BWV";"Barclays Bank PLC";"NA";"AMEX"
"BWX";"SPDR Series Trust";"$603.3";"AMEX"
"BXA";"Merrill Lynch";"$112.7";"AMEX"
"BXB";"Morgan Stanley Dean Witter & Co.";"$29.6";"AMEX"
"BXT";"Merrill Lynch & Co., Inc.";"$0.0";"AMEX"
"BXU";"Merrill Lynch & Co., Inc.";"$0.0";"AMEX"
"BYL";"Citigroup Inc.";"$0.0";"AMEX"
"BZC";"Breeze-Eastern Corporation";"$98.5";"AMEX"
"BZI";"XELR8 Holdings, Inc.";"$13.2";"AMEX"
"BZI-WTA";"XELR8 Holdings, Inc.";"$0.0";"AMEX"
"BZI-WTB";"XELR8 Holdings, Inc.";"$0.0";"AMEX"
"BZM";"BlackRock Maryland Municipal Bond Trust";"$32.8";"AMEX"
"BZP";"BPZ Resources, Inc";"$1,993.4";"AMEX"
"BZZ";"Citigroup Inc.";"$0.0";"AMEX"
"CAA";"Capital Alliance Income Trust Ltd.";"$1.7";"AMEX"
"CAV";"Cavalier Homes, Inc.";"$36.9";"AMEX"
"CAW";"CCA Industries, Inc.";"$42.6";"AMEX"
"CAX";"MORGAN STANLEY";"$27.8";"AMEX"
"CBJ";"AB Svensk Ekportkredit (Swedish Export Credit Corporation)";"$56.0";"AMEX"
"CCA";"MFS California Insured Municipal Trust";"$31.6";"AMEX"
"CCF";"Chase Corporation";"$131.2";"AMEX"
"CDY";"Cardero Resource Corporation";"$91.4";"AMEX"
"CEF";"Central Fund of Canada Limited";"$1,748.1";"AMEX"
"CEQ";"Morgan Stanley";"$12.0";"AMEX"
"CET";"Central Securities Corporation";"$523.1";"AMEX"
"CEV";"Eaton Vance California Municipal Income Trust";"$95.2";"AMEX"
"CFK";"CE Franklin Ltd.";"$185.2";"AMEX"
"CFP";"Cornerstone Progressive Return Fund";"$142.7";"AMEX"
"CFS";"COMFORCE Corp.";"$29.7";"AMEX"
"CFW";"Cano Petroleum, Inc.";"$269.3";"AMEX"
"CGL-A";"Cagle's, Inc.";"$23.3";"AMEX"
"CGR";"Claude Resources, Inc.";"$94.1";"AMEX"
"CGS";"Chyron Corporation";"$85.8";"AMEX"
"CGW";"Claymore Exchange-Traded Fund Trust 2";"$329.2";"AMEX"
"CH";"Chile Fund, Inc. (The)";"$161.8";"AMEX"
"CHM";"China Healthcare Acquisition Corp";"$67.3";"AMEX"
"CHM-U";"China Healthcare Acquisition Corp";"$0.0";"AMEX"
"CHM-WT";"China Healthcare Acquisition Corp";"$0.0";"AMEX"
"CHQ";"Challenger Energy Corp";"$229.8";"AMEX"
"CHV";"Churchill Ventures Ltd.";"$130.4";"AMEX"
"CHV-U";"Churchill Ventures Ltd.";"$0.0";"AMEX"
"CHV-WT";"Churchill Ventures Ltd.";"$0.0";"AMEX"
"CIK";"Credit Suisse Asset Management Income Fund, Inc.";"$158.2";"AMEX"
"CIO";"Asia Special Situation Acquisition Corp";"$128.7";"AMEX"
"CIO-U";"Asia Special Situation Acquisition Corp";"$0.0";"AMEX"
"CIO-WT";"Asia Special Situation Acquisition Corp";"$0.0";"AMEX"
"CKK";"Citigroup Inc.";"NA";"AMEX"
"CKX";"CKX Lands, Inc.";"$24.9";"AMEX"
"CLA";"Capitol Acquisition Corp";"$306.1";"AMEX"
"CLA-U";"Capitol Acquisition Corp";"$0.0";"AMEX"
"CLA-WT";"Capitol Acquisition Corp";"$0.0";"AMEX"
"CLM";"Cornerstone Strategic Value Fund, Inc.";"$142.3";"AMEX"
"CMF";"iShares Trust";"$20.7";"AMEX"
"CMT";"Core Molding Technologies Inc";"$48.3";"AMEX"
"CNR";"CanArgo Energy Corporation";"$58.4";"AMEX"
"CNU";"Continucare Corp.";"$147.0";"AMEX"
"COR";"Cortex Pharmaceuticals, Inc.";"$42.8";"AMEX"
"CPD";"Caraco Pharmaceutical Laboratories, Ltd.";"$466.3";"AMEX"
"CPI";"Capital Properties, Inc.";"$72.6";"AMEX"
"CQP";"Cheniere Energy Partners, LP";"$225.6";"AMEX"
"CRC";"Chromcraft Revington, Inc.";"$21.6";"AMEX"
"CRF";"Cornerstone Strategic Return Fund, Inc. (The)";"$68.1";"AMEX"
"CRJ";"Merrill Lynch & Co., Inc.";"$0.0";"AMEX"
"CRO";"Claymore Exchange-Traded Fund Trust 2";"$4.3";"AMEX"
"CRV";"Coast Distribution System, Inc. (The)";"$12.2";"AMEX"
"CSD";"Claymore Exchange-Traded Fund Trust";"$24.7";"AMEX"
"CSY";"China Sky One Medical, Inc.";"$149.1";"AMEX"
"CTE";"Cardiotech International, Inc.";"$12.6";"AMEX"
"CTO";"Consolidated-Tomoka Land Co.";"$223.5";"AMEX"
"CTT";"Competitive Technologies, Inc.";"$16.4";"AMEX"
"CTU";"Chad Therapeutics, Inc.";"$1.6";"AMEX"
"CUB";"Cubic Corporation";"$627.5";"AMEX"
"CUO";"Continental Materials Corporation";"$35.3";"AMEX"
"CUR";"Neuralstem, Inc.";"$42.0";"AMEX"
"CUT";"Claymore Exchange-Traded Fund Trust 2";"$7.3";"AMEX"
"CVF";"Castle Convertible Fund, Inc.";"$50.2";"AMEX"
"CVM";"Cel-Sci Corporation";"$72.9";"AMEX"
"CVN";"Conversion Services International, Inc.";"$9.2";"AMEX"
"CVP";"Centerplate Inc.";"$51.4";"AMEX"
"CVR";"Chicago Rivet & Machine Co.";"$19.4";"AMEX"
"CVU";"CPI Aerostructures, Inc.";"$44.3";"AMEX"
"CVY";"Claymore Exchange-Traded Fund Trust";"$71.5";"AMEX"
"CWI";"streetTRACKS Index Shares Funds";"$220.5";"AMEX"
"CXA";"SPDR Series Trust";"$17.5";"AMEX"
"CXM";"Cardium Therapeutics, Inc.";"$96.8";"AMEX"
"CXZ";"Crosshair Exploration & Mining Corp";"$44.2";"AMEX"
"CZA";"Claymore Exchange-Traded Fund Trust";"$4.6";"AMEX"
"DAX";"NETS Trust";"NA";"AMEX"
"DBA";"PowerShares DB Multi-Sector Commodity Trust";"$516.9";"AMEX"
"DBB";"PowerShares DB Multi-Sector Commodity Trust";"$66.6";"AMEX"
"DBC";"PowerShares DB Commodity Index Tracking Fund";"$2,875.2";"AMEX"
"DBE";"PowerShares DB Multi-Sector Commodity Trust";"$44.5";"AMEX"
"DBO";"PowerShares DB Multi-Sector Commodity Trust";"$98.9";"AMEX"
"DBP";"PowerShares DB Multi-Sector Commodity Trust";"$21.5";"AMEX"
"DBS";"PowerShares DB Multi-Sector Commodity Trust";"$27.8";"AMEX"
"DBV";"PowerShares DB G10 Currency Harvest Fund";"$475.6";"AMEX"
"DBX";"Morgan Stanley Dean Witter & Co.";"$28.9";"AMEX"
"DBY";"MORGAN STANLEY";"$107.8";"AMEX"
"DBZ";"MORGAN STANLEY";"$30.3";"AMEX"
"DCU";"DRYCLEAN USA, Inc.";"$6.3";"AMEX"
"DCV";"Morgan Stanley";"$0.0";"AMEX"
"DDD";"SCOLR Inc";"$39.1";"AMEX"
"DDG";"ProShares Trust";"NA";"AMEX"
"DDM";"ProShares Trust";"$126.6";"AMEX"
"DEF";"Claymore Exchange-Traded Fund Trust";"$22.3";"AMEX"
"DEJ";"Dejour Enterprises Ltd";"$123.1";"AMEX"
"DEK";"Dekania Corp";"$121.4";"AMEX"
"DEK-U";"Dekania Corp";"$0.0";"AMEX"
"DEK-WT";"Dekania Corp";"$0.0";"AMEX"
"DEV";"Merrill Lynch & Co., Inc.";"NA";"AMEX"
"DFB";"Morgan Stanley Dean Witter & Co.";"$26.8";"AMEX"
"DGC";"DGSE Companies, Inc.";"$26.6";"AMEX"
"DGD";"Morgan Stanley";"$199.9";"AMEX"
"DGK";"Merrill Lynch & Co., Inc.";"$76.4";"AMEX"
"DGL";"PowerShares DB Multi-Sector Commodity Trust";"$43.0";"AMEX"
"DGT";"streetTRACKS Dow Jones Global Titans Index Fund";"$154.5";"AMEX"
"DHY";"Credit Suisse High Yield Bond Fund";"$172.8";"AMEX"
"DIA";"DIAMONDS Trust Series I";"$7,449.1";"AMEX"
"DIG";"ProShares Trust";"$31.4";"AMEX"
"DII";"Decorator Industries, Inc.";"$7.3";"AMEX"
"DIT";"AMCON Distributing Company";"$15.8";"AMEX"
"DJL";"Merrill Lynch & Co., Inc.";"$0.0";"AMEX"
"DJQ";"Citigroup Inc.";"$345.2";"AMEX"
"DLA";"Delta Apparel, Inc.";"$40.7";"AMEX"
"DMC";"Document Security Systems, Inc.";"$68.7";"AMEX"
"DMF";"Dreyfus Municipal Income, Inc.";"$173.3";"AMEX"
"DMJ";"Morgan Stanley Dean Witter & Co.";"$279.7";"AMEX"
"DMU";"Morgan Stanley";"$0.0";"AMEX"
"DMY";"Merrill Lynch & Co., Inc.";"$0.0";"AMEX"
"DNE";"Dune Energy, Inc.";"$74.8";"AMEX"
"DNN";"Intl Uranium Corp";"$1,495.1";"AMEX"
"DOG";"ProShares Trust";"$818.2";"AMEX"
"DOY";"MACROshares $100 Oil Down Trust";"NA";"AMEX"
"DPP";"MORGAN STANLEY";"$15.1";"AMEX"
"DPW";"Digital Power Corporation";"$5.6";"AMEX"
"DRJ";"Dreams, Inc.";"$44.8";"AMEX"
"DRU";"Morgan Stanley Dean Witter & Co.";"$30.3";"AMEX"
"DRV";"Debt Resolve Inc";"$7.6";"AMEX"
"DRW";"WisdomTree Trust";"$93.9";"AMEX"
"DSC";"SPDR Series Trust";"$8.0";"AMEX"
"DSG";"streetTRACKS Dow Jones U.S. Small Cap Growth Index Fund";"$79.0";"AMEX"
"DSI";"iShares Trust";"$28.1";"AMEX"
"DSP";"SP Acquisition Holdings, Inc";"$506.5";"AMEX"
"DSP-U";"SP Acquisition Holdings, Inc";"$0.0";"AMEX"
"DSP-WT";"SP Acquisition Holdings, Inc";"$0.0";"AMEX"
"DSV";"streetTRACKS Dow Jones U.S. Small Cap Value Index Fund";"$81.2";"AMEX"
"DUG";"ProShares Trust";"$18.3";"AMEX"
"DVK";"AB Svensk Ekportkredit (Swedish Export Credit Corporation)";"$61.4";"AMEX"
"DWX";"SPDR Index Shares Fund";"$11.8";"AMEX"
"DXD";"ProShares Trust";"$790.3";"AMEX"
"DXI";"Morgan Stanley";"$28.7";"AMEX"
"DXN";"DigitalFX International, Inc.";"$16.0";"AMEX"
"DXR";"Daxor Corporation";"$68.3";"AMEX"
"EAD";"Evergreen Income Advantage Fund";"$688.7";"AMEX"
"EAG";"American Defense Systems, Inc";"NA";"AMEX"
"EAP";"Citigroup Inc.";"NA";"AMEX"
"EAR";"HearUSA, Inc.";"$60.9";"AMEX"
"EAZ";"Citigroup Inc.";"NA";"AMEX"
"EBB";"Citigroup Inc.";"$0.0";"AMEX"
"EBE";"Citigroup Inc.";"$65.7";"AMEX"
"EBK";"MORGAN STANLEY";"$11.4";"AMEX"
"EBY";"Citigroup Inc.";"$0.0";"AMEX"
"ECB";"Citigroup Inc.";"$0.0";"AMEX"
"ECF";"Ellsworth Convertible Growth and Income Fund, Inc.";"$94.6";"AMEX"
"ECI";"Encision Inc.";"$11.0";"AMEX"
"ECP";"Canterbury Park Holding Corporation";"$35.9";"AMEX"
"EDA";"Citigroup Inc.";"$0.0";"AMEX"
"EDV";"Vanguard World Funds";"NA";"AMEX"
"EEB";"Claymore Exchange-Traded Fund Trust";"$957.8";"AMEX"
"EEC";"MORGAN STANLEY";"$29.5";"AMEX"
"EEI";"Ecology and Environment, Inc.";"$28.7";"AMEX"
"EEN";"Claymore Exchange-Traded Fund Trust 2";"$4.3";"AMEX"
"EES";"WisdomTree Trust";"$14.2";"AMEX"
"EEV";"ProShares Trust";"$0.0";"AMEX"
"EEZ";"WisdomTree Trust";"$12.1";"AMEX"
"EFP";"Morgan Stanley Dean Witter & Co.";"$17.3";"AMEX"
"EFU";"ProShares Trust";"$0.0";"AMEX"
"EFZ";"ProShares Trust";"$0.0";"AMEX"
"EGI";"Entree Gold Inc";"$187.2";"AMEX"
"EGJ";"Citigroup Inc.";"NA";"AMEX"
"EGK";"Citigroup Inc.";"NA";"AMEX"
"EGO";"Eldorado Gold Corp";"$2,946.4";"AMEX"
"EGR";"Commerce Energy Group, Inc";"$34.0";"AMEX"
"EGT";"Elixir Gaming Technologies, Inc";"$111.5";"AMEX"
"EGX";"Engex, Inc.";"$8.9";"AMEX"
"EHC";"Citigroup Inc.";"$0.0";"AMEX"
"EHN";"Morgan Stanley";"$17.5";"AMEX"
"EHP";"Citigroup Inc.";"$0.0";"AMEX"
"EIA";"Eaton Vance Insured California Municipal Bond Fund II";"$49.5";"AMEX"
"EIF";"Eaton Vance Insured Florida Municipal Bond Fund";"$33.4";"AMEX"
"EII";"Energy Infrastructure Acquisition Corporation";"$269.8";"AMEX"
"EII-WT";"Energy Infrastructure Acquisition Corporation";"$0.0";"AMEX"
"EIM";"Eaton Vance Insured Municipal Bond Fund";"$875.3";"AMEX"
"EIO";"Eaton Vance Insured Ohio Municipal Bond Fund";"$32.9";"AMEX"
"EIP";"Eaton Vance Insured Pennsylvania Municipal Bond Fund";"$39.6";"AMEX"
"EIV";"Eaton Vance Insured Municipal Bond Fund II";"$130.8";"AMEX"
"EJC";"Citigroup Inc.";"$0.0";"AMEX"
"EJS";"Citigroup Inc.";"$0.0";"AMEX"
"EKC";"Citigroup Inc.";"$0.0";"AMEX"
"EKD";"Citigroup Inc.";"$44.9";"AMEX"
"EKH";"Merrill Lynch Europe 2001 HOLDRS";"$19.7";"AMEX"
"EKJ";"Citigroup Inc.";"$0.0";"AMEX"
"EKM";"Citigroup Inc.";"$50.5";"AMEX"
"EKO";"Citigroup Inc.";"$126.5";"AMEX"
"ELG";"streetTRACKS Dow Jones U.S. Large Cap Growth Index Fund";"$286.4";"AMEX"
"ELI";"Elite Pharmaceuticals, Inc.";"$9.7";"AMEX"
"ELJ";"Citigroup Inc.";"$0.0";"AMEX"
"ELR";"SPDR Series Trust";"$8.6";"AMEX"
"ELU";"Merrill Lynch & Co., Inc.";"$0.0";"AMEX"
"ELV";"streetTRACKS Dow Jones U.S. Large Cap Value Index Fund";"$104.6";"AMEX"
"EMG";"SPDR Series Trust";"$41.7";"AMEX"
"EMI";"Eaton Vance Michigan Municipal Income Trust";"$26.2";"AMEX"
"EMJ";"Eaton Vance Insured New Jersey Municipal Bond Fund";"$36.4";"AMEX"
"EML";"Eastern Company (The)";"$88.5";"AMEX"
"EMM";"SPDR Series Trust";"$19.8";"AMEX"
"EMV";"SPDR Series Trust";"$9.7";"AMEX"
"ENA";"Enova Systems Inc.";"$54.9";"AMEX"
"END";"Endeavor International Corporation";"$236.1";"AMEX"
"ENQ";"Citigroup Inc.";"$95.4";"AMEX"
"ENX";"Eaton Vance Insured New York Municipal Bond Fund";"$214.2";"AMEX"
"ENY";"Claymore Exchange-Traded Fund Trust 2";"$36.1";"AMEX"
"EOF";"Merrill Lynch & Co., Inc.";"$0.0";"AMEX"
"EOH";"Lehman Brothers Fin SA";"$280.0";"AMEX"
"EPK";"Citigroup Inc.";"$0.0";"AMEX"
"EPM";"Evolution Petroleum Corporation, Inc.";"$146.4";"AMEX"
"EPS";"WisdomTree Trust";"$50.7";"AMEX"
"ERC";"Evergreen Multi-Sector Income Fund";"$624.9";"AMEX"
"ERH";"Evergreen Utilities and High Income Fund";"$203.2";"AMEX"
"ERS";"Empire Resources, Inc.";"$28.0";"AMEX"
"ESA";"Energy Services Acquisition Corp";"$63.4";"AMEX"
"ESA-U";"Energy Services Acquisition Corp";"$0.0";"AMEX"
"ESA-WT";"Energy Services Acquisition Corp";"$0.0";"AMEX"
"ESC";"Emeritus Corporation";"$564.8";"AMEX"
"ESM";"Citigroup Inc.";"$0.0";"AMEX"
"ESP";"Espey Mfg. & Electronics Corp.";"$42.8";"AMEX"
"EST";"Enterprise Acquisition Corp.";"$293.1";"AMEX"
"EST-U";"Enterprise Acquisition Corp.";"$0.0";"AMEX"
"EST-WT";"Enterprise Acquisition Corp.";"$0.0";"AMEX"
"ETC";"Environmental Tectonics Corp.";"$13.5";"AMEX"
"ETF";"Emerging Markets Telecommunications Fund (The)";"$168.5";"AMEX"
"ETQ";"Corriente Res Inc";"$318.4";"AMEX"
"ETX";"Merrill Lynch & Co., Inc.";"$86.9";"AMEX"
"EUM";"ProShares Trust";"$0.0";"AMEX"
"EVD";"Citigroup Inc.";"$34.0";"AMEX"
"EVJ";"Eaton Vance New Jersey Municipal Income Trust";"$57.2";"AMEX"
"EVM";"Eaton Vance Insured California Municipal Bond Fund";"$286.5";"AMEX"
"EVO";"Eaton Vance Ohio Municipal Income Trust";"$34.7";"AMEX"
"EVP";"Eaton Vance Pennsylvania Municipal Income Trust";"$33.6";"AMEX"
